股票代码,股票名称,研报标题,PDF路径,下载时间
601899,紫金矿业,紫金矿业2024年第三季度报告点评：业绩弹性继续兑现，黄金资源版图再扩张,data/研报PDF\紫金矿业\紫金矿业2024年第三季度报告点评：业绩弹性继续兑现，黄金资源版图再扩张.pdf,2025-11-16 00:38:09
601899,紫金矿业,紫金矿业2024半年报点评：24Q2单季度业绩创新高，成本控制显成效,data/研报PDF\紫金矿业\紫金矿业2024半年报点评：24Q2单季度业绩创新高，成本控制显成效.pdf,2025-11-16 00:38:12
601899,紫金矿业,紫金矿业2024年半年度业绩预增公告点评：主要矿产品量价齐升，24H1业绩预计大幅增长,data/研报PDF\紫金矿业\紫金矿业2024年半年度业绩预增公告点评：主要矿产品量价齐升，24H1业绩预计大幅增长.pdf,2025-11-16 00:38:16
601899,紫金矿业,紫金矿业公告点评：卡莫阿产能提升，全球第四大铜矿呼之欲出,data/研报PDF\紫金矿业\紫金矿业公告点评：卡莫阿产能提升，全球第四大铜矿呼之欲出.pdf,2025-11-16 00:38:19
601899,紫金矿业,紫金矿业2021业绩预增点评：铜金产量提升，业绩同比大增,data/研报PDF\紫金矿业\紫金矿业2021业绩预增点评：铜金产量提升，业绩同比大增.pdf,2025-11-16 00:38:22
601899,紫金矿业,紫金矿业跟踪点评：铜金产量增加明显，持续处于资源变现期,data/研报PDF\紫金矿业\紫金矿业跟踪点评：铜金产量增加明显，持续处于资源变现期.pdf,2025-11-16 00:38:25
601899,紫金矿业,战略性看多铜板块和紫金矿业,data/研报PDF\紫金矿业\战略性看多铜板块和紫金矿业.pdf,2025-11-16 00:38:28
601899,紫金矿业,紫金矿业：收购大陆黄金，海外并购再下一城,data/研报PDF\紫金矿业\紫金矿业：收购大陆黄金，海外并购再下一城.pdf,2025-11-16 00:38:31
601899,紫金矿业,紫金矿业跟踪点评：单季利润明显回升，金铜贡献主要增量,data/研报PDF\紫金矿业\紫金矿业跟踪点评：单季利润明显回升，金铜贡献主要增量.pdf,2025-11-16 00:38:34
601899,紫金矿业,卓越推：紫金矿业,data/研报PDF\紫金矿业\卓越推：紫金矿业.pdf,2025-11-16 00:38:38
